,imdb_id,popularity,budget,revenue,original_title,cast,director,keywords,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,profit,popularity_level
0,tt0369610,32.985763,150000000,1513528810,Jurassic World,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan', ""Vincent D'Onofrio"", 'Nick Robinson']",Colin Trevorrow,"['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island']",124,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",2015-06-09,5562,6.5,2015,137999939,1392445892,1363528810,High
1,tt1392190,28.419936,150000000,378436354,Mad Max: Fury Road,"['Tom Hardy', 'Charlize Theron', 'Hugh Keays-Byrne', 'Nicholas Hoult', 'Josh Helman']",George Miller,"['future', 'chase', 'post-apocalyptic', 'dystopia', 'australia']",120,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Village Roadshow Pictures', 'Kennedy Miller Productions']",2015-05-13,6185,7.1,2015,137999939,348161292,228436354,High
2,tt2908446,13.112507,110000000,295238201,Insurgent,"['Shailene Woodley', 'Theo James', 'Kate Winslet', 'Ansel Elgort', 'Miles Teller']",Robert Schwentke,"['based on novel', 'revolution', 'dystopia', 'sequel', 'dystopic future']",119,"['Adventure', 'Science Fiction', 'Thriller']","['Summit Entertainment', 'Mandeville Films', 'Red Wagon Entertainment', 'NeoReel']",2015-03-18,2480,6.3,2015,101199955,271619025,185238201,High
3,tt2488496,11.173104,200000000,2068178225,Star Wars: The Force Awakens,"['Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley']",J.J. Abrams,"['android', 'spaceship', 'jedi', 'space opera', '3d']",136,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","['Lucasfilm', 'Truenorth Productions', 'Bad Robot']",2015-12-15,5292,7.5,2015,183999919,1902723129,1868178225,High
4,tt2820852,9.335014,190000000,1506249360,Furious 7,"['Vin Diesel', 'Paul Walker', 'Jason Statham', 'Michelle Rodriguez', 'Dwayne Johnson']",James Wan,"['car race', 'speed', 'revenge', 'suspense', 'car']",137,"['Action', 'Crime', 'Thriller']","['Universal Pictures', 'Original Film', 'Media Rights Capital', 'Dentsu', 'One Race Films']",2015-04-01,2947,7.3,2015,174799923,1385748801,1316249360,High
5,tt1663202,9.1107,135000000,532950503,The Revenant,"['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter', 'Domhnall Gleeson', 'Paul Anderson']",Alejandro GonzÃ¡lez IÃ±Ã¡rritu,"['father-son relationship', 'rape', 'based on novel', 'mountains', 'winter']",156,"['Western', 'Drama', 'Adventure', 'Thriller']","['Regency Enterprises', 'Appian Way', 'CatchPlay', 'Anonymous Content', 'New Regency Pictures']",2015-12-25,3929,7.2,2015,124199945,490314247,397950503,High
6,tt1340138,8.654359,155000000,440603537,Terminator Genisys,"['Arnold Schwarzenegger', 'Jason Clarke', 'Emilia Clarke', 'Jai Courtney', 'J.K. Simmons']",Alan Taylor,"['saving the world', 'artificial intelligence', 'cyborg', 'killer robot', 'future']",125,"['Science Fiction', 'Action', 'Thriller', 'Adventure']","['Paramount Pictures', 'Skydance Productions']",2015-06-23,2598,5.8,2015,142599937,405355075,285603537,High
7,tt3659388,7.6674,108000000,595380321,The Martian,"['Matt Damon', 'Jessica Chastain', 'Kristen Wiig', 'Jeff Daniels', 'Michael PeÃ±a']",Ridley Scott,"['based on novel', 'mars', 'nasa', 'isolation', 'botanist']",141,"['Drama', 'Adventure', 'Science Fiction']","['Twentieth Century Fox Film Corporation', 'Scott Free Productions', 'Mid Atlantic Films', 'International Traders', 'TSG Entertainment']",2015-09-30,4572,7.6,2015,99359956,547749654,487380321,High
8,tt2293640,7.40416499999999,74000000,1156730962,Minions,"['Sandra Bullock', 'Jon Hamm', 'Michael Keaton', 'Allison Janney', 'Steve Coogan']",Kyle Balda|Pierre Coffin,"['assistant', 'aftercreditsstinger', 'duringcreditsstinger', 'evil mastermind', 'minions']",91,"['Family', 'Animation', 'Adventure', 'Comedy']","['Universal Pictures', 'Illumination Entertainment']",2015-06-17,2893,6.5,2015,68079970,1064192016,1082730962,High
9,tt2096673,6.326804,175000000,853708609,Inside Out,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Bill Hader', 'Lewis Black']",Pete Docter,"['dream', 'cartoon', 'imaginary friend', 'animation', 'kid']",94,"['Comedy', 'Animation', 'Family']","['Walt Disney Pictures', 'Pixar Animation Studios', 'Walt Disney Studios Motion Pictures']",2015-06-09,3935,8.0,2015,160999929,785411574,678708609,High
10,tt2379713,6.200282,245000000,880674609,Spectre,"['Daniel Craig', 'Christoph Waltz', 'LÃ©a Seydoux', 'Ralph Fiennes', 'Monica Bellucci']",Sam Mendes,"['spy', 'based on novel', 'secret agent', 'sequel', 'james bond']",148,"['Action', 'Adventure', 'Crime']","['Columbia Pictures', 'Danjaq', 'B24']",2015-10-26,3254,6.2,2015,225399900,810220283,635674609,High
11,tt1617661,6.189369,176000003,183987723,Jupiter Ascending,"['Mila Kunis', 'Channing Tatum', 'Sean Bean', 'Eddie Redmayne', 'Douglas Booth']",Lana Wachowski|Lilly Wachowski,"['jupiter', 'space', 'woman director', '3d', 'interspecies romance']",124,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']","['Village Roadshow Pictures', 'Dune Entertainment', 'Anarchos Productions', 'Warner Bros.']",2015-02-04,1937,5.2,2015,161919931,169268630,7987720,High
12,tt0470752,6.118847,15000000,36869414,Ex Machina,"['Domhnall Gleeson', 'Alicia Vikander', 'Oscar Isaac', 'Sonoya Mizuno', 'Corey Johnson']",Alex Garland,"['dancing', 'artificial intelligence', 'helicopter', 'distrust', 'isolation']",108,"['Drama', 'Science Fiction']","['DNA Films', 'Universal Pictures International (UPI)', 'Film4']",2015-01-21,2854,7.6,2015,13799993,33919845,21869414,High
13,tt2120120,5.984995,88000000,243637091,Pixels,"['Adam Sandler', 'Michelle Monaghan', 'Peter Dinklage', 'Josh Gad', 'Kevin James']",Chris Columbus,"['video game', 'nerd', 'alien attack', '3d', 'pixels']",105,"['Action', 'Comedy', 'Science Fiction']","['Columbia Pictures', 'Happy Madison Productions']",2015-07-16,1575,5.8,2015,80959964,224146025,155637091,High
14,tt2395427,5.944927,280000000,1405035767,Avengers: Age of Ultron,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson']",Joss Whedon,"['marvel comic', 'comic', 'sequel', 'superhero', 'vision']",141,"['Action', 'Adventure', 'Science Fiction']","['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",2015-04-22,4304,7.4,2015,257599886,1292632336,1125035767,High
15,tt3460252,5.8984,44000000,155760117,The Hateful Eight,"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh', 'Walton Goggins', 'DemiÃ¡n Bichir']",Quentin Tarantino,"['bounty hunter', 'wyoming', 'mountains', 'hangman', 'voice over narration']",167,"['Crime', 'Drama', 'Mystery', 'Western']","['Double Feature Films', 'The Weinstein Company', 'FilmColony']",2015-12-25,2389,7.4,2015,40479982,143299244,111760117,High
16,tt2446042,5.749758,48000000,325771424,Taken 3,"['Liam Neeson', 'Forest Whitaker', 'Maggie Grace', 'Famke Janssen', 'Dougray Scott']",Olivier Megaton,"['revenge', 'murder', 'on the run', 'fugitive', 'framed']",109,"['Crime', 'Action', 'Thriller']","['Twentieth Century Fox Film Corporation', 'M6 Films', 'Canal+', 'EuropaCorp', 'CinÃ©+']",2015-01-01,1578,6.1,2015,44159980,299709578,277771424,High
17,tt0478970,5.573184,130000000,518602163,Ant-Man,"['Paul Rudd', 'Michael Douglas', 'Evangeline Lilly', 'Corey Stoll', 'Bobby Cannavale']",Peyton Reed,"['marvel comic', 'superhero', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",115,"['Science Fiction', 'Action', 'Adventure']",['Marvel Studios'],2015-07-14,3779,7.0,2015,119599947,477113780,388602163,High
18,tt1951266,5.476958,160000000,650523427,The Hunger Games: Mockingjay - Part 2,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks']",Francis Lawrence,"['revolution', 'strong woman', 'dystopia', 'game of death', '3d']",136,"['War', 'Adventure', 'Science Fiction']","['Studio Babelsberg', 'StudioCanal', 'Lionsgate', 'Walt Disney Studios Motion Pictures', 'Color Force']",2015-11-18,2380,6.5,2015,147199935,598481289,490523427,High
19,tt1964418,5.462138,190000000,209035668,Tomorrowland,"['Britt Robertson', 'George Clooney', 'Raffey Cassidy', 'Thomas Robinson', 'Hugh Laurie']",Brad Bird,"['inventor', 'apocalypse', 'destiny', 'imax', 'dreamer']",130,"['Action', 'Family', 'Science Fiction', 'Adventure', 'Mystery']","['Walt Disney Pictures', 'Babieka', 'A113']",2015-05-19,1899,6.2,2015,174799923,192312729,19035668,High
20,tt2126355,4.907832,110000000,470490832,San Andreas,"['Dwayne Johnson', 'Alexandra Daddario', 'Carla Gugino', 'Ioan Gruffudd', 'Archie Panjabi']",Brad Peyton,"['california', 'earthquake', 'catastrophe', 'disaster film', '3d']",114,"['Action', 'Drama', 'Thriller']","['New Line Cinema', 'Village Roadshow Pictures', 'Warner Bros.', 'Flynn Picture Company']",2015-05-27,2060,6.1,2015,101199955,432851374,360490832,High
21,tt2322441,4.71040199999999,40000000,569651467,Fifty Shades of Grey,"['Dakota Johnson', 'Jamie Dornan', 'Jennifer Ehle', 'Eloise Mumford', 'Victor Rasuk']",Sam Taylor-Johnson,"['based on novel', 'billionaire', 'bdsm', 'woman director', 'erotic movie']",125,"['Drama', 'Romance']","['Focus Features', 'Trigger Street Productions', 'Michael De Luca Productions']",2015-02-11,1865,5.3,2015,36799983,524079119,529651467,High
22,tt1596363,4.648046,28000000,133346506,The Big Short,"['Christian Bale', 'Steve Carell', 'Ryan Gosling', 'Brad Pitt', 'Melissa Leo']",Adam McKay,"['bank', 'fraud', 'biography', 'wall street', 'finances']",130,"['Comedy', 'Drama']","['Paramount Pictures', 'Plan B Entertainment', 'Regency Enterprises']",2015-12-11,1545,7.3,2015,25759988,122678731,105346506,High
23,tt2381249,4.566713,150000000,682330139,Mission: Impossible - Rogue Nation,"['Tom Cruise', 'Jeremy Renner', 'Simon Pegg', 'Rebecca Ferguson', 'Ving Rhames']",Christopher McQuarrie,"['spy', 'sequel', 'mission']",131,['Action'],"['Paramount Pictures', 'Skydance Productions', 'China Movie Channel', 'Bad Robot', 'TC Productions']",2015-07-23,2349,7.1,2015,137999939,627743451,532330139,High
24,tt2802144,4.503789,81000000,403802136,Kingsman: The Secret Service,"['Taron Egerton', 'Colin Firth', 'Samuel L. Jackson', 'Michael Caine', 'Mark Strong']",Matthew Vaughn,"['spy', 'great britain', 'secret organization', 'secret agent', 'marvel comic']",130,"['Crime', 'Comedy', 'Action', 'Adventure']","['Twentieth Century Fox Film Corporation', 'Marv Films', 'TSG Entertainment', 'Cloudy Productions']",2015-01-24,3833,7.6,2015,74519967,371497801,322802136,High
25,tt1895587,4.062293,20000000,88346473,Spotlight,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber', 'John Slattery']",Tom McCarthy,"['child abuse', 'journalism', 'judge', 'florida', 'boston']",128,"['Drama', 'Thriller', 'History']","['Participant Media', 'Open Road Films', 'Anonymous Content', 'Rocklin / Faust', 'Entertainment One Features']",2015-11-06,1559,7.8,2015,18399991,81278719,68346473,High
26,tt4046784,3.968891,61000000,311256926,Maze Runner: The Scorch Trials,"[""Dylan O'Brien"", 'Kaya Scodelario', 'Thomas Brodie-Sangster', 'Giancarlo Esposito', 'Aidan Gillen']",Wes Ball,"['based on novel', 'resistance', 'maze', 'post-apocalyptic', 'dystopia']",132,"['Action', 'Science Fiction', 'Thriller']","['Gotham Group', 'Temple Hill Entertainment', 'TSG Entertainment']",2015-09-09,1849,6.4,2015,56119975,286356245,250256926,High
